Serial_No,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,True
381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,True
384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True
386,DeoxysNormal Forme,Psychic,,600,50,150,50,150,50,150,3,True
386,DeoxysAttack Forme,Psychic,,600,50,180,20,180,20,150,3,True
386,DeoxysSpeed Forme,Psychic,,600,50,95,90,95,90,180,3,True
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,False
419,Floatzel,Water,,495,85,105,55,85,50,115,4,False
424,Ambipom,Normal,,482,75,100,66,60,66,115,4,False
428,Lopunny,Normal,,480,65,76,84,54,96,105,4,False
428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False
429,Mismagius,Ghost,,495,60,60,60,105,105,105,4,False
432,Purugly,Normal,,452,71,82,64,64,59,112,4,False
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,False
448,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,False
461,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,False
475,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,False
478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,False
482,Azelf,Psychic,,580,75,125,70,125,70,115,4,True
491,Darkrai,Dark,,600,70,90,90,135,90,125,4,True
492,ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,True
493,Arceus,Normal,,720,120,120,120,120,120,120,4,True
497,Serperior,Grass,,528,75,75,95,75,95,113,5,False
510,Liepard,Dark,,446,64,88,50,88,50,106,5,False
512,Simisage,Grass,,498,75,98,63,98,63,101,5,False
514,Simisear,Fire,,498,75,98,63,98,63,101,5,False
516,Simipour,Water,,498,75,98,63,98,63,101,5,False
523,Zebstrika,Electric,,497,75,100,63,80,63,116,5,False
528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,False
545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,False
547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,False
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,False
571,Zoroark,Dark,,510,60,105,60,120,60,105,5,False
573,Cinccino,Normal,,470,75,95,60,65,60,115,5,False
587,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,False
596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,False
615,Cryogonal,Ice,,485,70,50,30,95,135,105,5,False
617,Accelgor,Bug,,495,80,70,40,100,60,145,5,False
620,Mienshao,Fighting,,510,65,125,60,95,60,105,5,False
632,Durant,Bug,Steel,484,58,109,112,48,48,109,5,False
638,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,True
639,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,True
640,Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,True
641,TornadusIncarnate Forme,Flying,,580,79,115,70,125,80,111,5,True
641,TornadusTherian Forme,Flying,,580,79,100,80,110,90,121,5,True
642,ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,True
642,ThundurusTherian Forme,Electric,Flying,580,79,105,70,145,80,101,5,True
645,LandorusIncarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,True
647,KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,False
647,KeldeoResolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,False
648,MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,False
655,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,False
658,Greninja,Water,Dark,530,72,95,67,103,71,122,6,False
663,Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,False
668,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,False
676,Furfrou,Normal,,472,75,80,60,65,90,102,6,False
678,MeowsticMale,Psychic,,466,74,48,76,83,81,104,6,False
678,MeowsticFemale,Psychic,,466,74,48,76,83,81,104,6,False
695,Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,False
701,Hawlucha,Fighting,Flying,500,78,92,75,74,63,118,6,False
702,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,False
715,Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,False
719,DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,True
